Name,Location,Type,Rating,Price
PALLAVI PURE VEG,parvati-gaon,"North Indian, South Indian, Chinese, Beverages, Desserts",3.3,300 FOR TWO
Martand Misal & Special Tea,parvati-gaon,"Snacks, Maharashtrian, Sweets, Beverages",--,150 FOR TWO
Theobroma,parvati-gaon,"Bakery, Desserts",4.6,500 FOR TWO
Abhishek Veg Restaurant,parvati-gaon,"North Indian, Chinese",4.3,500 FOR TWO
Darshan,parvati-gaon,"Italian, Chinese, Continental, Desserts, Chaat, Indian, North Indian, Juices, Me...",4.5,550 FOR TWO
Samudra Veg,parvati-gaon,"North Indian, Chinese, South Indian",4.4,450 FOR TWO
Damodar P30,parvati-gaon,"Maharashtrian, South Indian",--,150 FOR TWO
S.A Dosa Cafe,parvati-gaon,South Indian,4.4,250 FOR TWO
Best Belgian waffle,parvati-gaon,"Desserts, Bakery, Beverages",4.2,250 FOR TWO
Le Plaisir,parvati-gaon,European,4.5,1000 FOR TWO
Shiv Shankar Dairy Farm,parvati-gaon,Beverages,--,150 FOR TWO
New Morbiwala Sweets & Namkeen,parvati-gaon,Snacks,4.2,300 FOR TWO
Vateshwar Bhuvan,parvati-gaon,Fast Food,4.4,150 FOR TWO
EatFit,parvati-gaon,"Healthy Food, Pizzas, North Indian, Thalis, Biryani, Chinese",4.2,270 FOR TWO
Priya,parvati-gaon,"South Indian, Beverages",4.4,250 FOR TWO
Deepak Special Tea House,parvati-gaon,"Indian, Snacks",--,300 FOR TWO
CakeZone,parvati-gaon,"Bakery, Desserts, Sweets, Ice Cream",4.4,200 FOR TWO
S Kumar Wadewale,parvati-gaon,"Snacks, Chaat",3.7,100 FOR TWO
BreakFast,parvati-gaon,South Indian,4.4,150 FOR TWO
Great Indian Khichdi by EatFit,parvati-gaon,"Indian, Home Food, Healthy Food, Snacks",4.3,200 FOR TWO
The Brew Social,parvati-gaon,Beverages,--,400 FOR TWO
AKKAGS T.R SHARMA SHEGOAN KACHORI CENTER,parvati-gaon,Street Food,--,100 FOR TWO
VISHNUKRUPA HALL,parvati-gaon,"Indian, Snacks",--,200 FOR TWO
HRX by EatFit,parvati-gaon,"Healthy Food, Salads, Keto",4.3,270 FOR TWO
Home Plate by EatFit,parvati-gaon,"North Indian, Home Food, Healthy Food, Indian, Punjabi, South Indian, Rajasthani...",3.8,160 FOR TWO
Samosa Singh,parvati-gaon,"North Indian, Indian, Snacks, Street Food",3.7,150 FOR TWO
The Verandah,parvati-gaon,"Beverages, South Indian, Snacks, Fast Food, Chaat",4.5,500 FOR TWO
OM SAI ON THE WAY PURE VEG,parvati-gaon,"North Indian, South Indian, Beverages, Street Food",--,100 FOR TWO
Cafe Crush,parvati-gaon,"Beverages, Snacks",--,200 FOR TWO
Hotel Bismillah,parvati-gaon,North Indian,3.9,300 FOR TWO
Chirp Cafe,parvati-gaon,"Beverages, Chinese, Indian, Italian, Pizzas",4.2,400 FOR TWO
HOTEL GEETA VIHAR,parvati-gaon,"North Indian, South Indian, Biryani, Snacks",--,300 FOR TWO
The Cake & Cream Factory,parvati-gaon,Bakery,4.4,200 FOR TWO
Hotel Maharashtra,parvati-gaon,North Indian,4.1,300 FOR TWO
Pure Veg Meals by Lunchbox,parvati-gaon,"North Indian, Desserts, Biryani",--,200 FOR TWO
Cafe Peter,parvati-gaon,"Italian, Continental, Korean",4.3,300 FOR TWO
The Dessert Heaven - Pure Veg,parvati-gaon,"Bakery, Desserts, Sweets, Ice Cream",4.2,200 FOR TWO
Baker's Basket,parvati-gaon,"Bakery, Desserts",4.6,400 FOR TWO
Malabar Restaurant,parvati-gaon,Indian,3.8,300 FOR TWO
Hotel Subhadraa ,parvati-gaon,"North Indian, Chinese, South Indian, Biryani",4.4,350 FOR TWO
Green Signal.,parvati-gaon,"Chinese, Continental, Indian, North Indian",4.5,500 FOR TWO
Shiv Sagar,parvati-gaon,"North Indian, South Indian, Chinese, Fast Food",4.3,300 FOR TWO
Yolkshire,parvati,"Healthy Food, Italian, Salads, Desserts",4.3,400 FOR TWO
Shree Kala - Aaba Misalwale,parvati,"Street Food, Maharashtrian, Snacks, Sweets",4.4,200 FOR TWO
Hotel Annapurna Tarangan,parvati,Maharashtrian,4.1,150 FOR TWO
Maskawala & Co.,parvati,"Snacks, Biryani, Bakery",4.4,400 FOR TWO
Katakirr Misal,parvati,"Snacks, Maharashtrian",4.1,200 FOR TWO
Shree Narayan Khaman Dhokla & Sweets,parvati,Gujarati,4.3,300 FOR TWO
Punjab Canteen,parvati,"Punjabi, North Indian, Chaat, Biryani, Kebabs, Desserts, Beverages, Tandoor",4.2,300 FOR TWO
NAADBRAMHA IDLI,parvati,South Indian,4.2,200 FOR TWO
Navratna Veg,parvati,"North Indian, Chinese, South Indian, Fast Food",4.3,300 FOR TWO
Third Wave Coffee,parvati,"Beverages, Fast Food, Snacks",4.4,400 FOR TWO
Kaka Halwai,parvati,Street Food,4.4,150 FOR TWO
Cream Corner Cake N Cafe,parvati,Bakery,--,350 FOR TWO
Oye Kiddan,parvati,"Punjabi, North Indian, Desserts, Thalis",4.2,250 FOR TWO
Jagaat Bhaari Kolhapuri,parvati,Maharashtrian,4.4,200 FOR TWO
Faasos - Wraps & Rolls,parvati,"Fast Food, North Indian, Street Food, Desserts",4.1,200 FOR TWO
Rohit Wadewale,parvati,North Indian,--,150 FOR TWO
Yumma Swami,parvati,South Indian,4.2,300 FOR TWO
Naghbrahma Davangiri Bennedosa,parvati,South Indian,4.5,200 FOR TWO
Third Wave Coffee,parvati,"Beverages, Fast Food, Snacks",4.4,400 FOR TWO
Sweet Truth - Cake and Desserts,parvati,"Bakery, Desserts",3.9,450 FOR TWO
Shree Snacks & Cafe,parvati,"South Indian, Snacks",--,200 FOR TWO
Hotel Durga,parvati,"Fast Food, South Indian",4.4,300 FOR TWO
Anna Idli,parvati,"South Indian, Andhra",4.4,300 FOR TWO
Yenna Dosa,parvati,South Indian,4.4,300 FOR TWO
Maskawala & Co.,parvati,"Snacks, Biryani, Bakery",4.4,400 FOR TWO
Atithi veg,parvati,"North Indian, Maharashtrian, Chinese, Tandoor, Biryani, Beverages",3.8,500 FOR TWO
SHREE WADEWALE,parvati,"South Indian, Snacks",3.8,150 FOR TWO
Barista,parvati,"Beverages, Snacks, Desserts",3.9,350 FOR TWO
LunchBox - Meals and Thalis,parvati,"North Indian, Punjabi, Biryani, Healthy Food, Jain, Thalis, Indian, Mughlai, Des...",4.0,200 FOR TWO
Shree Krushna Wade wale,parvati,"Fast Food, Beverages",4.4,24 FOR TWO
Starbucks Coffee,parvati,"Beverages, Ice Cream",4.6,400 FOR TWO
Pizza Paradise,parvati,"Pizzas, Burgers, Pastas, Italian, Street Food",--,200 FOR TWO
AMMA PAKODA,parvati,South Indian,3.3,150 FOR TWO
Joes Bakery,parvati,"Bakery, Desserts",--,200 FOR TWO
Faasos' Signature Wraps & Rolls,parvati,"Snacks, Beverages, Desserts, Indian",--,350 FOR TWO
Jayashree Misal,parvati,Snacks,--,150 FOR TWO
Subway,parvati,"Healthy Food, Salads, Snacks, Desserts, Beverages",3.9,350 FOR TWO
New Poona Bakery,parvati,Indian,4.5,200 FOR TWO
Bedekar Misal,parvati,Maharashtrian,4.4,400 FOR TWO
Kiosk Kaffee,parvati,Beverages,--,350 FOR TWO
Matoshree tiffins,parvati,"Indian, Biryani",--,600 FOR TWO
Aai Chi Poli,parvati,Indian,--,100 FOR TWO
Gatti Chutney,parvati,"South Indian, Beverages",4.0,200 FOR TWO
Peppino,parvati,"Italian, Pizzas, Chinese",--,700 FOR TWO
Kulkarni Veg	,parvati,"Indian, Thalis, Desserts",--,200 FOR TWO
Shrimanti Misal And Snacks,parvati,"Maharashtrian, Street Food",4.3,150 FOR TWO
Bhadait Misal,parvati,"Maharashtrian, Snacks",4.4,150 FOR TWO
Damodar P30,parvati,"Maharashtrian, South Indian",--,150 FOR TWO
Pizza Hot,parvati,"Pizzas, Burgers, Pastas, Italian, Street Food",--,200 FOR TWO
New Morbiwala Sweets & Namkeen,parvati,Snacks,4.2,300 FOR TWO
Jayashree Garden,parvati,"North Indian, Chinese, Continental",4.2,500 FOR TWO
S Kumar Wadewale,parvati,"Snacks, Chaat",3.7,100 FOR TWO
Sai Chaya Misal House,parvati,"Chinese, Snacks, North Indian",--,200 FOR TWO
Kwality Walls Frozen Dessert and Ice Cream Shop,parvati,"Desserts, Ice Cream, Ice Cream Cakes",--,200 FOR TWO
Kekiz The Cake Shop,parvati,Desserts,--,400 FOR TWO
Kharade Wadewale,parvati,Snacks,--,100 FOR TWO
SANJEEVINI  SNACKES CORNER,parvati,"Snacks, Street Food, Beverages",--,220 FOR TWO
Aamhi Pohekar,parvati,"North Indian, Maharashtrian, Snacks",4.6,100 FOR TWO
Pizza Point,parvati,"Pizzas, American, Snacks",--,300 FOR TWO
Chandan Veg Restaurant,parvati,"North Indian, Chinese, Fast Food, South Indian, Beverages",--,500 FOR TWO
S.A Dosa Cafe,parvati,South Indian,4.6,300 FOR TWO
Shri Kailash dairy,parvati,"Beverages, Desserts, Sweets, Snacks, Ice Cream",4.4,200 FOR TWO
Shivtirth Vadapav	,parvati,"Maharashtrian, Snacks, Beverages",--,100 FOR TWO
Momo mafia,parvati,"Tandoor, North Indian, Indian",--,200 FOR TWO
Wadeshwar (Bajirao road),parvati,"South Indian, Snacks, Street Food, Beverages",4.6,350 FOR TWO
Cafe U N ME,parvati,Indian,--,400 FOR TWO
Cafe Peter,parvati,"Italian, Continental, Korean",4.3,300 FOR TWO
McDonald's,parvati,"Burgers, Beverages, Cafe, Desserts",4.2,400 FOR TWO
Dhokla House Sweets and Namkeen,parvati,Snacks,4.2,150 FOR TWO
Bhawarji Sweets And Namkeens,parvati,"Sweets, Snacks",--,500 FOR TWO
S Kumar Wadewale  Satara Road,parvati,"Snacks, Chaat",--,100 FOR TWO
Eatify - Salad Meals ,parvati,Salads,--,150 FOR TWO
Appa,parvati,Street Food,4.3,150 FOR TWO
RAHUL WADEWALE,parvati,"Snacks, Beverages, Indian",--,100 FOR TWO
Nandu's Paratha,parvati,North Indian,3.7,300 FOR TWO
 Hotel Ramnath Kolhapuri Misal,parvati,Street Food,4.0,150 FOR TWO
NRH BADSHAHI,parvati,"Fast Food, Snacks, Beverages",--,200 FOR TWO
Shiv Shankar Dairy Farm,parvati,Beverages,--,150 FOR TWO
Chitale Bandhu Mithaiwale,parvati,"Sweets, Snacks, Desserts",4.6,450 FOR TWO
Bangalore Ayangar bakery,parvati,"Bakery, Beverages",4.2,100 FOR TWO
Deepak Special Tea House,parvati,"Indian, Snacks",--,300 FOR TWO
Meghdoot's,parvati,"North Indian, South Indian, Chinese",4.1,350 FOR TWO
Saffron Vegetarian,parvati,"North Indian, Chinese, South Indian, Fast Food",4.4,500 FOR TWO
Vateshwar Bhuvan,parvati,Fast Food,4.4,150 FOR TWO
Cafe Durga - Gangadham,parvati,"South Indian, Pizzas, Beverages",--,150 FOR TWO
The Brew Social,parvati,Beverages,--,400 FOR TWO
Swa Varhadi MIsal,parvati,"Indian, Snacks",--,200 FOR TWO
Irani Cafe,parvati,"Bakery, Snacks, Fast Food, Desserts, Beverages, Indian, Street Food",4.4,200 FOR TWO
Anarse Samosewale,parvati,Snacks,4.2,100 FOR TWO
Crazy Cheesy,parvati,"Pizzas, Pastas, American, Italian",4.1,500 FOR TWO
Akshay Pure Veg,parvati,"North Indian, Maharashtrian, Chinese, Biryani, Pizzas, Kebabs",--,500 FOR TWO
S kumar wadewale & premacha chaha,parvati,"Fast Food, Snacks, Beverages",4.2,150 FOR TWO
Ajantha,parvati,Maharashtrian,--,100 FOR TWO
HINDUSTAN BAKERY,parvati,"Bakery, Snacks",--,100 FOR TWO
Buva Snacks Vadapav Dosa Center,parvati,"Street Food, South Indian, Snacks",--,100 FOR TWO
New Maharashtra Bakers,parvati,Indian,--,200 FOR TWO
McDonald's Gourmet Burger Collection,parvati,"Burgers, Beverages, Cafe, Desserts",--,400 FOR TWO
Nadbramha Idli,parvati,South Indian,4.7,150 FOR TWO
Priya,parvati,"South Indian, Beverages",4.4,250 FOR TWO
SHEGAON KACHORI,parvati,Snacks,--,200 FOR TWO
Shri Sadguru Amrutalay And Snacks Center,parvati,Indian,3.5,300 FOR TWO
Oum Kailash Dairy,parvati,Desserts,--,150 FOR TWO
PANDIT CHAHA,parvati,"Snacks, Fast Food",--,250 FOR TWO
Sam And Sam Burger,parvati,"American, Fast Food, Pizzas",--,200 FOR TWO
SDKz Healthy Food,parvati,Snacks,--,220 FOR TWO
Subhanallah Hotel,parvati,"North Indian, Mughlai",--,400 FOR TWO
HOTEL GEETA VIHAR,parvati,"North Indian, South Indian, Biryani, Snacks",--,300 FOR TWO
Pav Bhaji On KG,parvati,"Snacks, Street Food, Beverages",--,150 FOR TWO
Pandit Pan Pratisthan,parvati,"Paan, Combo",--,100 FOR TWO
Rajeshwari Snacks,parvati,"Snacks, South Indian, Beverages",--,200 FOR TWO
McCafe by McDonald's,parvati,"American, Beverages, Desserts",--,250 FOR TWO
SARKAR FOOD,parvati,"Fast Food, Beverages",--,150 FOR TWO
Shreeji Ice Cream,parvati,Ice Cream,--,150 FOR TWO
Cafe Goodluck,parvati,"North Indian, Biryani, Snacks, Beverages, Bakery",4.3,350 FOR TWO
Indore Foods,parvati,Street Food,4.3,100 FOR TWO
GOKHALES KITCHEN,parvati,"Thalis, Street Food, South Indian, Maharashtrian",4.3,200 FOR TWO
Samudra Veg,parvati,"North Indian, Chinese, South Indian",4.4,450 FOR TWO
Abhishek Veg Restaurant,parvati,"North Indian, Chinese",4.3,500 FOR TWO
Le Plaisir,parvati,European,4.5,1000 FOR TWO
PALLAVI PURE VEG,parvati,"North Indian, South Indian, Chinese, Beverages, Desserts",3.3,300 FOR TWO
Martand Misal & Special Tea,parvati,"Snacks, Maharashtrian, Sweets, Beverages",--,150 FOR TWO
Fries Meal & Snacks,parvati,"Indian, North Indian, Punjabi, Maharashtrian, Snacks",--,300 FOR TWO
Theobroma,parvati,"Bakery, Desserts",4.6,500 FOR TWO
Darshan,parvati,"Italian, Chinese, Continental, Desserts, Chaat, Indian, North Indian, Juices, Me...",4.5,550 FOR TWO
Madrasi South Indian Snacks Centre,parvati,"South Indian, Snacks",--,100 FOR TWO
Indori Laal,parvati,Snacks,4.0,150 FOR TWO
OM SAI ON THE WAY PURE VEG,parvati,"North Indian, South Indian, Beverages, Street Food",--,100 FOR TWO
VISHNUKRUPA HALL,parvati,"Indian, Snacks",--,200 FOR TWO
Santosh Bakery,rasta-peth,Bakery,4.8,100 FOR TWO
Shree Kala - Aaba Misalwale,rasta-peth,"Snacks, Maharashtrian, Beverages, Desserts",4.3,150 FOR TWO
SHRI BALAJI IDLI WADA CENTER,rasta-peth,South Indian,4.4,150 FOR TWO
Blue Nile,rasta-peth,"Indian, Chinese",4.2,700 FOR TWO
Bedekar Misal,rasta-peth,Maharashtrian,4.4,400 FOR TWO
Supriya Restaurant,rasta-peth,"North Indian, Chinese, South Indian, Fast Food, Beverages, Snacks",4.5,300 FOR TWO
Chaayos Chai+Snacks=Relax,rasta-peth,"Bakery, Beverages, Chaat, Desserts, Home Food, Italian, Maharashtrian, Snacks, S...",4.2,250 FOR TWO
Umar Fast Food,rasta-peth,"Chinese, Biryani",--,199 FOR TWO
Priya,rasta-peth,"South Indian, Beverages",4.4,250 FOR TWO
Starbucks Coffee,rasta-peth,"Beverages, Ice Cream",4.4,400 FOR TWO
Granny Ammaas Cake,rasta-peth,"Desserts, Bakery",3.7,300 FOR TWO
Kwality Walls Frozen Dessert and Ice Cream Shop,rasta-peth,"Desserts, Ice Cream, Ice Cream Cakes",4.6,200 FOR TWO
Yolkshire,rasta-peth,"Healthy Food, European, Salads, Italian, Desserts, Beverages",4.3,400 FOR TWO
NAADBRAMHA IDLI,rasta-peth,South Indian,--,200 FOR TWO
Mummy's Kitchen,rasta-peth,Snacks,--,250 FOR TWO
SHREE SAINATH SNACKS CENTER,rasta-peth,South Indian,--,50 FOR TWO
Oye Kiddan,rasta-peth,"Punjabi, North Indian, Desserts, Thalis",4.2,250 FOR TWO
Garden Vada Pav Centre,rasta-peth,Street Food,4.3,100 FOR TWO
Deepak Special Tea House,rasta-peth,"Indian, Snacks",--,300 FOR TWO
Greens and Breads,rasta-peth,"Healthy Food, American, Salads, Continental, Grill",4.1,250 FOR TWO
SWARAJYA WADEWALE,rasta-peth,"Snacks, South Indian, Beverages",--,200 FOR TWO
Murthys,rasta-peth,Bakery,--,150 FOR TWO
Third Wave Coffee,rasta-peth,"Beverages, Fast Food, Snacks",4.4,400 FOR TWO
Faasos - Wraps & Rolls,rasta-peth,"Fast Food, North Indian, Street Food, Desserts",4.4,200 FOR TWO
POONA CENTRAL RESTAURANT,rasta-peth,"North Indian, Chinese, Tandoor, Biryani",--,1000 FOR TWO
Punjab Canteen,rasta-peth,"Punjabi, North Indian, Chaat, Biryani, Kebabs, Desserts, Beverages, Tandoor",4.2,300 FOR TWO
Shree Krishna Palace,rasta-peth,"North Indian, South Indian",4.3,400 FOR TWO
LunchBox - Meals and Thalis,rasta-peth,"North Indian, Punjabi, Biryani, Healthy Food, Jain, Thalis, Indian, Mughlai, Des...",4.1,200 FOR TWO
Fakkad Foods,rasta-peth,"Street Food, Fast Food, Indian",4.3,300 FOR TWO
Hotel Bismillah,rasta-peth,North Indian,3.9,300 FOR TWO
Vateshwar Bhuvan,rasta-peth,Fast Food,4.4,150 FOR TWO
Subhanallah Hotel,rasta-peth,"North Indian, Mughlai",--,400 FOR TWO
Coffee House,rasta-peth,"North Indian, Chinese, South Indian",4.4,250 FOR TWO
Yumma Swami,rasta-peth,South Indian,4.4,200 FOR TWO
Hotel Maharashtra,rasta-peth,North Indian,4.1,300 FOR TWO
Irani Cafe,rasta-peth,"Bakery, Snacks, Desserts, Fast Food, Beverages, Indian, Street Food",4.4,200 FOR TWO
Malabar Restaurant,rasta-peth,Indian,3.8,300 FOR TWO
Aamhi Pohekar,rasta-peth,"North Indian, Maharashtrian, Snacks",4.6,100 FOR TWO
Oum Kailash Dairy,rasta-peth,Desserts,--,150 FOR TWO
Rajeshwari Snacks,rasta-peth,"Snacks, South Indian, Beverages",--,200 FOR TWO
Marz O Rin,rasta-peth,"Bakery, Beverages, Snacks, Desserts",4.4,450 FOR TWO
KERALA HOUSE,rasta-peth,"Indian, Chinese",3.5,300 FOR TWO
Sweet Truth - Cake and Desserts,rasta-peth,"Bakery, Desserts",4.2,450 FOR TWO
Chitale Bandhu Mithaiwale,rasta-peth,"Sweets, Snacks, Desserts",4.6,450 FOR TWO
Shivtirth Vadapav	,rasta-peth,"Maharashtrian, Snacks, Beverages",--,100 FOR TWO
Wadeshwar (Bajirao road),rasta-peth,"South Indian, Snacks, Street Food, Beverages",4.6,350 FOR TWO
Rama Krishna,rasta-peth,"North Indian, South Indian, Chinese, Fast Food, Snacks, Beverages, Indian",4.3,450 FOR TWO
McDonald's,rasta-peth,"Burgers, Beverages, Cafe, Desserts",4.2,400 FOR TWO
Marz O Rin,rasta-peth,"Bakery, Beverages, Snacks, Desserts",4.4,450 FOR TWO
The Belgian Waffle Co.,rasta-peth,"Waffle, Desserts, Ice Cream",4.7,200 FOR TWO
KERALA HOUSE,rasta-peth,"Indian, Chinese",3.5,300 FOR TWO
Govinda's Snacks Centre (Camp) ISKCON,rasta-peth,"South Indian, Pizzas, Chaat, Chinese",4.6,300 FOR TWO
Sweet Truth - Cake and Desserts,rasta-peth,"Bakery, Desserts",4.2,450 FOR TWO
Chitale Bandhu Mithaiwale,rasta-peth,"Sweets, Snacks, Desserts",4.6,450 FOR TWO
The Brooklyn Creamery - Healthy Ice Cream,rasta-peth,"Desserts, Ice Cream, Healthy Food",--,200 FOR TWO
Pizza Hut,rasta-peth,"Pizzas, Fast Food",3.7,350 FOR TWO
Shivtirth Vadapav	,rasta-peth,"Maharashtrian, Snacks, Beverages",--,100 FOR TWO
Mai wadewale,rasta-peth,"Street Food, Snacks, Beverages",--,200 FOR TWO
Saba Traders,rasta-peth,Indian,--,100 FOR TWO
Wadeshwar (Bajirao road),rasta-peth,"South Indian, Snacks, Street Food, Beverages",4.6,350 FOR TWO
Persian Darbar,rasta-peth,"Chinese, Indian",4.0,1100 FOR TWO
Rama Krishna,rasta-peth,"North Indian, South Indian, Chinese, Fast Food, Snacks, Beverages, Indian",4.3,450 FOR TWO
Blue Nile,rasta-peth,"Indian, Chinese",4.2,700 FOR TWO
McDonald's,rasta-peth,"Burgers, Beverages, Cafe, Desserts",4.2,400 FOR TWO
Hotel Buff Special,rasta-peth,North Indian,3.6,300 FOR TWO
Nandu's Paratha & TND Fastfood,rasta-peth,North Indian,4.1,300 FOR TWO
Al-Afiya Restaurant,rasta-peth,"Indian, North Indian, Chinese",--,350 FOR TWO
Babus Laxmi Narayan Best Chiwda,rasta-peth,Snacks,--,400 FOR TWO
Jai Maharashtra,rasta-peth,"Tandoor, Indian, North Indian, Chinese",--,350 FOR TWO
Arabian Mexico Restaurant,rasta-peth,Maharashtrian,--,350 FOR TWO
ZamZam Restaurant,rasta-peth,"Indian, North Indian, Chinese",--,350 FOR TWO
Chicking Cafe,rasta-peth,"North Indian, Chinese, Biryani",--,350 FOR TWO
Marhaba Restaurant,rasta-peth,"Tandoor, Indian, North Indian, Chinese",--,350 FOR TWO
Hotel Shamiaana,rasta-peth,North Indian,--,300 FOR TWO
EatFit,rasta-peth,"Healthy Food, Pizzas, North Indian, Thalis, Biryani, Chinese",4.2,270 FOR TWO
Shrimanti Misal And Snacks,rasta-peth,"Maharashtrian, Street Food",4.3,150 FOR TWO
Appa,rasta-peth,Street Food,4.3,150 FOR TWO
hotel pune,rasta-peth,"Biryani, Beverages",--,200 FOR TWO
CakeZone,rasta-peth,"Bakery, Desserts, Sweets, Ice Cream",4.4,200 FOR TWO
Karachi Sweet Mart,rasta-peth,Sweets,4.4,300 FOR TWO
Marhaba Restaurant,rasta-peth,"Tandoor, Indian, North Indian, Chinese",--,350 FOR TWO
Hotel Shamiaana,rasta-peth,North Indian,--,300 FOR TWO
EatFit,rasta-peth,"Healthy Food, Pizzas, North Indian, Thalis, Biryani, Chinese",4.2,270 FOR TWO
Shrimanti Misal And Snacks,rasta-peth,"Maharashtrian, Street Food",4.3,150 FOR TWO
Appa,rasta-peth,Street Food,4.3,150 FOR TWO
hotel pune,rasta-peth,"Biryani, Beverages",--,200 FOR TWO
CakeZone,rasta-peth,"Bakery, Desserts, Sweets, Ice Cream",4.4,200 FOR TWO
Karachi Sweet Mart,rasta-peth,Sweets,4.4,300 FOR TWO
Clover Sandwich And Pizza,rasta-peth,"Pizzas, Fast Food",--,200 FOR TWO
Subway,rasta-peth,"Fast Food, Healthy Food, Salads, Snacks, Desserts, Beverages",4.3,350 FOR TWO
Anarse Samosewale,rasta-peth,Snacks,4.2,100 FOR TWO
Great Indian Khichdi by EatFit,rasta-peth,"Indian, Home Food, Healthy Food, Snacks",4.3,200 FOR TWO
McDonald's Gourmet Burger Collection,rasta-peth,"Burgers, Beverages, Cafe, Desserts",--,400 FOR TWO
Katakirr Misal,rasta-peth,"Maharashtrian, Snacks",3.5,200 FOR TWO
HRX by EatFit,rasta-peth,"Healthy Food, Salads, Keto",4.3,270 FOR TWO
Theobroma,rasta-peth,"Bakery, Desserts",4.4,500 FOR TWO
Roopali Restaurant - FC Road,rasta-peth,"South Indian, North Indian, Beverages",4.6,300 FOR TWO
RAHUL WADEWALE,rasta-peth,"Snacks, Beverages, Indian",--,100 FOR TWO
Home Plate by EatFit,rasta-peth,"North Indian, Home Food, Healthy Food, Indian, Punjabi, South Indian, Rajasthani...",3.8,160 FOR TWO
Samosa Singh,rasta-peth,"North Indian, Indian, Snacks, Street Food",3.7,150 FOR TWO
Jannat Restaurant,rasta-peth,North Indian,3.5,200 FOR TWO
Great Poona Cold Drink House,rasta-peth,Desserts,4.5,150 FOR TWO
Pav Bhaji On KG,rasta-peth,"Snacks, Street Food, Beverages",--,150 FOR TWO
Bhavnagri Fancy Sweet Mart,rasta-peth,Desserts,4.1,200 FOR TWO
VISHNUKRUPA HALL,rasta-peth,"Indian, Snacks",--,200 FOR TWO
Haldiram's Restaurant,rasta-peth,"Chaat, North Indian, South Indian, Fast Food, Beverages, Desserts",4.3,300 FOR TWO
Labbaik Biryani House,rasta-peth,"Biryani, North Indian",2.6,200 FOR TWO
Chandan Veg Restaurant,rasta-peth,"North Indian, Chinese, Fast Food, South Indian, Beverages",--,500 FOR TWO
Sam And Sam Burger,rasta-peth,"American, Fast Food, Pizzas",--,200 FOR TWO
HINDUSTAN BAKERY,rasta-peth,"Bakery, Snacks",--,100 FOR TWO
Al Nayaab,rasta-peth,"Chinese, Biryani, Mughlai, North Indian",4.2,200 FOR TWO
McCafe by McDonald's,rasta-peth,"American, Beverages, Desserts",--,250 FOR TWO
Bhadait Misal,rasta-peth,"Maharashtrian, Snacks",4.4,150 FOR TWO
Niranjan Veg Restaurant,rasta-peth,"South Indian, Maharashtrian, Chinese, Fast Food, Beverages",4.5,400 FOR TWO
Cafe Goodluck,rasta-peth,"North Indian, Biryani, Snacks, Beverages, Bakery",4.3,350 FOR TWO
AK Chinese Corner,rasta-peth,"Biryani, Chinese, North Indian",--,300 FOR TWO
The Dessert Heaven - Pure Veg,rasta-peth,"Bakery, Desserts, Sweets, Ice Cream",4.2,200 FOR TWO
Zaika Chai,rasta-peth,"Beverages, Snacks",--,200 FOR TWO
Cakes 'n' Coffee - Retail,rasta-peth,Bakery,--,100 FOR TWO
Cheesecakes By CakeZone,rasta-peth,"Desserts, Bakery",4.7,200 FOR TWO
Haldiram's Sweets and Namkeen,rasta-peth,"South Indian, North Indian, Indian, Fast Food, Snacks",4.5,200 FOR TWO
Crazy Cheesy,rasta-peth,"Pizzas, Pastas, American, Italian",4.1,500 FOR TWO
SANJEEVINI  SNACKES CORNER,rasta-peth,"Snacks, Street Food, Beverages",--,220 FOR TWO
Kannu Ki Chai,rasta-peth,"Beverages, Fast Food, Snacks",4.2,350 FOR TWO
Kiosk Kaffee,rasta-peth,Beverages,--,350 FOR TWO
Smoodies & Juices- Yours Fruitfully,rasta-peth,"Beverages, Juices, Healthy Food, Desserts",--,270 FOR TWO
Iceberg Organic Icecreams By EatFit,rasta-peth,Ice Cream,--,200 FOR TWO
ITC Fabelle Chocolates,rasta-peth,"Bakery, Desserts",5.0,600 FOR TWO
Santosh Bakery,shaniwar-peth-pune,Bakery,4.8,100 FOR TWO
Bedekar Misal,shaniwar-peth-pune,Maharashtrian,4.4,400 FOR TWO
Aamhi Pohekar,shaniwar-peth-pune,"North Indian, Maharashtrian, Snacks",4.6,100 FOR TWO
Yolkshire,shaniwar-peth-pune,"Healthy Food, European, Salads, Italian, Desserts, Beverages",4.3,400 FOR TWO
McDonald's,shaniwar-peth-pune,"Burgers, Beverages, Cafe, Desserts",4.2,400 FOR TWO
Bhadait Misal,shaniwar-peth-pune,"Maharashtrian, Snacks",4.4,150 FOR TWO
Chaayos Chai+Snacks=Relax,shaniwar-peth-pune,"Bakery, Beverages, Chaat, Desserts, Home Food, Italian, Maharashtrian, Snacks, S...",4.2,250 FOR TWO
Naadbramha Idli,shaniwar-peth-pune,"South Indian, Beverages",--,200 FOR TWO
Shivtirth Vadapav	,shaniwar-peth-pune,"Maharashtrian, Snacks, Beverages",--,100 FOR TWO
Appa,shaniwar-peth-pune,Street Food,4.3,150 FOR TWO
McDonald's Gourmet Burger Collection,shaniwar-peth-pune,"Burgers, Beverages, Cafe, Desserts",--,400 FOR TWO
Starbucks Coffee,shaniwar-peth-pune,"Beverages, Ice Cream",4.4,400 FOR TWO
Chitale Bandhu Mithaiwale,shaniwar-peth-pune,"Sweets, Snacks, Desserts",4.6,450 FOR TWO
